model,feature,code,code_system,type_of_data,data_alive_time,default_value,search_type
pima_diabetes,glucose,72-314,https://www.cgmh.org.tw,observation,0005-00-00T00:00:00,,latest
pima_diabetes,diastolic_blood_pressure,8462-4,,observation,0005-00-00T00:00:00,,latest
pima_diabetes,insulin,72-496,https://www.cgmh.org.tw,observation,0005-00-00T00:00:00,,latest
pima_diabetes,insulin,72-49B,https://www.cgmh.org.tw,observation,0005-00-00T00:00:00,,latest
pima_diabetes,weight,29463-7,http://loinc.org,observation,0005-00-00T00:00:00,,latest
pima_diabetes,height,8302-2,http://loinc.org,observation,0005-00-00T00:00:00,,latest
pima_diabetes,hypertension,I10,,condition,0005-00-00T00:00:00,,latest
pima_diabetes,age,age,,patient,0000-00-00T00:00:00,,
qCSI,respiratory_rate,OA04,https://www.cgmh.org.tw,observation,0000-00-02T00:00:00,,latest
qCSI,spo2,OA08,https://www.cgmh.org.tw,observation,0000-00-02T00:00:00,,latest
qCSI,o2_flow_rate,3151-8,http://loinc.org,observation,0000-00-02T00:00:00,,latest
rox,spo2,OA08,https://www.cgmh.org.tw,observation,0000-00-02T00:00:00,,latest
rox,respiratory_rate,OA04,https://www.cgmh.org.tw,observation,0000-00-02T00:00:00,,latest
rox,fio2,3151-8,http://loinc.org,observation,0000-00-02T00:00:00,21,latest
