model,feature,type,formulate,index
spc,LOC,numeric,,2
spc,FullDate,numeric,,
spc,Gender,category,1=male,4
spc,Gender,category,2=female,4
spc,Age,category,1=lt21,5
spc,Age,category,2=ge|21&lt|31,5
spc,Age,category,3=ge|31&lt|41,5
spc,Age,category,4=ge|41&lt|51,5
spc,Age,category,5=ge|51&lt|61,5
spc,Age,category,6=ge|61&lt|71,5
spc,Age,category,7=ge|71&lt|81,5
spc,Age,category,8=ge|81&lt|91,5
spc,Age,category,9=gt|91,5
spc,TMRSZ,category,1=ge|0&le|49,13
spc,TMRSZ,category,1=ge|991&le|995,13
spc,TMRSZ,category,1=ge|0&le|49,13
spc,TMRSZ,category,2=ge|50&le|99,13
spc,TMRSZ,category,3=ge|100&le|149,13
spc,TMRSZ,category,4=ge|150&lt|990,13
spc,TMRSZ,category,9=990,13
spc,TMRSZ,category,9=998,13
spc,TMRSZ,category,9=999,13
spc,TMRSZ,category,nan=[default],13
spc,LYMND,category,1=0,12
spc,LYMND,category,2=ge|1&le|2,12
spc,LYMND,category,3=ge|3&le|6,12
spc,LYMND,category,4=ge|7&le|15,12
spc,LYMND,category,5=ge|16&le|95,12
spc,LYMND,category,9=95,12
spc,LYMND,category,9=97,12
spc,LYMND,category,9=98,12
spc,LYMND,category,9=99,12
spc,AJCCstage,category,1=0,10
spc,AJCCstage,category,2=1,10
spc,AJCCstage,category,3=2,10
spc,AJCCstage,category,4=3,10
spc,AJCCstage,category,5=4,10
spc,AJCCstage,category,9=BBB,10
spc,AJCCstage,category,9=888,10
spc,AJCCstage,category,9=999,10
spc,AJCCstage,category,9=OC ,10
spc,MAGN,category,nan=nan,9
spc,MAGN,category,2=A,9
spc,MAGN,category,2=B,9
spc,MAGN,category,2=C,9
spc,MAGN,category,1=0,9
spc,MAGN,category,2=gt|0&lt|7,9
spc,MAGN,category,3=ge|7&le|9,9
spc,MAGN,category,nan=[default],9
spc,HIGHT,numeric,,
spc,WEIGHT,numeric,,
spc,BMI,formula,([WEIGHT]/([HIGHT]*[HIGHT]))*10000,
spc,BMI_label,category,1=[BMI]lt|18.5,17
spc,BMI_label,category,2=[BMI]ge|18.5&lt|24,17
spc,BMI_label,category,3=[BMI]ge|24,17
spc,SSF1,category,1=0,18
spc,SSF1,category,2=10,18
spc,SSF1,category,2=20,18
spc,SSF1,category,2=30,18
spc,SSF1,category,2=40,18
spc,SSF1,category,9=988,18
spc,SSF1,category,9=999,18
spc,SSF2,category,1=0,19
spc,SSF2,category,2=10,19
spc,SSF2,category,2=20,19
spc,SSF2,category,2=30,19
spc,SSF2,category,2=40,19
spc,SSF2,category,9=988,19
spc,SSF2,category,9=999,19
spc,SSF3,category,9=988,20
spc,SSF3,category,9=998,20
spc,SSF3,category,9=999,20
spc,SSF3,category,nan=nan,20
spc,SSF3,numeric,,
spc,SSF3,formula,[SSF3]+1,20
spc,SSF4,category,9=988,21
spc,SSF4,category,9=999,21
spc,SSF4,category,1=0,21
spc,SSF4,category,2=ge|11&le|15,21
spc,SSF4,category,nan=[default],21
spc,SSF6,category,1=20,22
spc,SSF6,category,2=10,22
spc,SSF6,category,9=0,22
spc,SSF6,category,9=2,22
spc,SSF6,category,9=30,22
spc,SSF6,category,9=988,22
spc,SSF6,category,9=998,22
spc,SSF6,category,9=999,22
spc,SSF6,category,nan=[default],22
spc,DIFF,category,9=6,11
spc,DIFF,numeric,,11
spc,SMOK_1,numeric,,
spc,SMOK_2,numeric,,
spc,SMOK_3,numeric,,
spc,CIG,category,1=[SMOK_1]|0&[SMOK_2]|0&[SMOK_3]|88,6
spc,CIG,category,9=[SMOK_1]|99&[SMOK_2]|99&[SMOK_3]|99,6
spc,CIG,category,nan=[SMOK_1]|nan&[SMOK_2]|nan&[SMOK_3]|nan,6
spc,CIG,category,2=[default]|88,6
spc,BETELNUT_1,numeric,,
spc,BETELNUT_2,numeric,,
spc,BETELNUT_3,numeric,,
spc,BN,category,1=[BETELNUT_1]|0&[BETELNUT_2]|0&[BETELNUT_3]|88,8
spc,BN,category,9=[BETELNUT_1]|99&[BETELNUT_2]|99&[BETELNUT_3]|99,8
spc,BN,category,nan=[BETELNUT_1]|nan&[BETELNUT_2]|nan&[BETELNUT_3]|nan,8
spc,BN,category,2=[default]|88,8
spc,ALC,category,1=0,7
spc,ALC,category,2=gt|0&lt|10,7
spc,ALC,category,9=999,7
spc,ALC,category,nan=[default],7
spc,RTDATE,category,1=nan,15
spc,RTDATE,category,2=[default],15
spc,STDATE,category,1=nan,16
spc,STDATE,category,2=[default],16
